event_id,country,league,home_team,away_team,event_time,event_url,market_group,market_title,selection,odds,market_id,outcome_id,product_id,selection_url
sr:match:61514054,Germany,Bundesliga,Heidenheim,Hoffenheim,07/03 Saturday 15:30,https://www.sportybet.com/ng/lite/preMatch/detail?fromUrl=%2Fng%2Flite&sportId=sr:sport:1&eventId=sr:match:61514054&marketGroupsName=Main,Main,1X2,Home,5.71,1,1,3,https://www.sportybet.com/ng/lite/preMatch/detail?fromUrl=%2Fng%2Flite&sportId=sr:sport:1&productId=3&eventId=sr:match:61514054&marketId=1&outcomeId=1&selected=0&odds=5.71&marketGroupsName=Main
sr:match:61514054,Germany,Bundesliga,Heidenheim,Hoffenheim,07/03 Saturday 15:30,https://www.sportybet.com/ng/lite/preMatch/detail?fromUrl=%2Fng%2Flite&sportId=sr:sport:1&eventId=sr:match:61514054&marketGroupsName=Main,Main,1X2,Draw,4.91,1,2,3,https://www.sportybet.com/ng/lite/preMatch/detail?fromUrl=%2Fng%2Flite&sportId=sr:sport:1&productId=3&eventId=sr:match:61514054&marketId=1&outcomeId=2&selected=0&odds=4.91&marketGroupsName=Main
sr:match:61514054,Germany,Bundesliga,Heidenheim,Hoffenheim,07/03 Saturday 15:30,https://www.sportybet.com/ng/lite/preMatch/detail?fromUrl=%2Fng%2Flite&sportId=sr:sport:1&eventId=sr:match:61514054&marketGroupsName=Main,Main,1X2,Away,1.56,1,3,3,https://www.sportybet.com/ng/lite/preMatch/detail?fromUrl=%2Fng%2Flite&sportId=sr:sport:1&productId=3&eventId=sr:match:61514054&marketId=1&outcomeId=3&selected=0&odds=1.56&marketGroupsName=Main
sr:match:61514054,Germany,Bundesliga,Heidenheim,Hoffenheim,07/03 Saturday 15:30,https://www.sportybet.com/ng/lite/preMatch/detail?fromUrl=%2Fng%2Flite&sportId=sr:sport:1&eventId=sr:match:61514054&marketGroupsName=Main,Main,1X2 - 1UP,Home,2.44,60200,1,3,https://www.sportybet.com/ng/lite/preMatch/detail?fromUrl=%2Fng%2Flite&sportId=sr:sport:1&productId=3&eventId=sr:match:61514054&marketId=60200&outcomeId=1&selected=0&odds=2.44&marketGroupsName=Main
sr:match:61514054,Germany,Bundesliga,Heidenheim,Hoffenheim,07/03 Saturday 15:30,https://www.sportybet.com/ng/lite/preMatch/detail?fromUrl=%2Fng%2Flite&sportId=sr:sport:1&eventId=sr:match:61514054&marketGroupsName=Main,Main,1X2 - 1UP,Draw,4.91,60200,2,3,https://www.sportybet.com/ng/lite/preMatch/detail?fromUrl=%2Fng%2Flite&sportId=sr:sport:1&productId=3&eventId=sr:match:61514054&marketId=60200&outcomeId=2&selected=0&odds=4.91&marketGroupsName=Main
sr:match:61514054,Germany,Bundesliga,Heidenheim,Hoffenheim,07/03 Saturday 15:30,https://www.sportybet.com/ng/lite/preMatch/detail?fromUrl=%2Fng%2Flite&sportId=sr:sport:1&eventId=sr:match:61514054&marketGroupsName=Main,Main,1X2 - 1UP,Away,1.26,60200,3,3,https://www.sportybet.com/ng/lite/preMatch/detail?fromUrl=%2Fng%2Flite&sportId=sr:sport:1&productId=3&eventId=sr:match:61514054&marketId=60200&outcomeId=3&selected=0&odds=1.26&marketGroupsName=Main
sr:match:61514054,Germany,Bundesliga,Heidenheim,Hoffenheim,07/03 Saturday 15:30,https://www.sportybet.com/ng/lite/preMatch/detail?fromUrl=%2Fng%2Flite&sportId=sr:sport:1&eventId=sr:match:61514054&marketGroupsName=Main,Main,1X2 - 2UP,Home,4.85,60100,1,3,https://www.sportybet.com/ng/lite/preMatch/detail?fromUrl=%2Fng%2Flite&sportId=sr:sport:1&productId=3&eventId=sr:match:61514054&marketId=60100&outcomeId=1&selected=0&odds=4.85&marketGroupsName=Main
sr:match:61514054,Germany,Bundesliga,Heidenheim,Hoffenheim,07/03 Saturday 15:30,https://www.sportybet.com/ng/lite/preMatch/detail?fromUrl=%2Fng%2Flite&sportId=sr:sport:1&eventId=sr:match:61514054&marketGroupsName=Main,Main,1X2 - 2UP,Draw,4.91,60100,2,3,https://www.sportybet.com/ng/lite/preMatch/detail?fromUrl=%2Fng%2Flite&sportId=sr:sport:1&productId=3&eventId=sr:match:61514054&marketId=60100&outcomeId=2&selected=0&odds=4.91&marketGroupsName=Main
sr:match:61514054,Germany,Bundesliga,Heidenheim,Hoffenheim,07/03 Saturday 15:30,https://www.sportybet.com/ng/lite/preMatch/detail?fromUrl=%2Fng%2Flite&sportId=sr:sport:1&eventId=sr:match:61514054&marketGroupsName=Main,Main,1X2 - 2UP,Away,1.49,60100,3,3,https://www.sportybet.com/ng/lite/preMatch/detail?fromUrl=%2Fng%2Flite&sportId=sr:sport:1&productId=3&eventId=sr:match:61514054&marketId=60100&outcomeId=3&selected=0&odds=1.49&marketGroupsName=Main
sr:match:61514054,Germany,Bundesliga,Heidenheim,Hoffenheim,07/03 Saturday 15:30,https://www.sportybet.com/ng/lite/preMatch/detail?fromUrl=%2Fng%2Flite&sportId=sr:sport:1&eventId=sr:match:61514054&marketGroupsName=Main,Main,Over/Under,Over 2,1.22,18,12,3,https://www.sportybet.com/ng/lite/preMatch/detail?fromUrl=%2Fng%2Flite&sportId=sr:sport:1&productId=3&eventId=sr:match:61514054&marketId=18&outcomeId=12&selected=0&odds=1.22&marketGroupsName=Main&specifier=total%3D2
